[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[446]12212   I've asked you to stay about twelve times, and then Dad came home and said you'd got an official warning for using magic in front of Muggles-It wasn't me - and how did he know
[447]7321  He works for the Ministry, said Ron
[448]12513    You know we're not supposed to do spells outside school-You should talk, said Harry, staring at the floating car
[449]9885   Oh, this doesn't count, said Ron
[450]1    We're only borrowing this
[451]12321    It's Dad's, we didn't enchant it
[452]25669    But doing magic in front of those Muggles you live with-I told you, I didn't - but it'll take too long to explain now - look, can you tell them at Hogwarts that the Dursleys have locked me up and won't let me come back, and obviously I can't magic myself out, because the Ministry'll think that's the second spell I've done in three days, so-Stop gibbering, said Ron
[453]1207    We've come to take you home with us
[454]13334   But you can't magic me out either-We don't need to, said Ron, jerking his head toward the front seat and grinning
[455]1407    You forget who I've got with me
[456]11529   Tie that around the bars, said Fred, throwing the end of a rope to Harry
[457]12070   If the Dursleys wake up, I'm dead, said Harry as he tied the rope tightly around a bar and Fred revved up the car
[458]8567   Don't worry, said Fred, and stand back
[459]6146   Harry moved back into the shadows next to Hedwig, who seemed to have realized how important this was and kept still and silent
[460]1416    The car revved louder and louder and suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred drove straight up in the air
[461]6342    Harry ran back to the window to see the bars dangling a few feet above the ground
[462]2148    Panting, Ron hoisted them up into the car
[463]6002    Harry listened anxiously, but there was no sound from the Dursleys'bedroom
[464]13292   When the bars were safely in the back seat with Ron, Fred reversed as close as possible to Harry's window
[465]7088   Get in, Ron said
[466]745   But all my Hogwarts stuff - my wand - my broomstick-Where is it
[467]8440  Locked in the cupboard under the stairs, and I can't get out of this room-No problem, said George from the front passenger seat
[468]6087    Out of the way, Harry
[469]11927   Fred and George climbed catlike through the window into Harry's room
[470]7282    You had to hand it to them, thought Harry, as George took an ordinary hairpin from his pocket and started to pick the lock
[471]12179   A lot of wizards think it's a waste of time, knowing this sort of Muggle trick, said Fred, but we feel they're skills worth learning, even if they are a bit slow
[472]940   There was a small click and the door swung open
[473]4134   So - we'll get your trunk - you grab anything you need from your room and hand it out to Ron, whispered George
[474]6351   Watch out for the bottom stair - it creaks, Harry whispered back as the twins disappeared onto the dark landing
[475]8527   Harry dashed around his room, collecting his things and passing them out of the window to Ron
[476]1297    Then he went to help Fred and George heave his trunk up the stairs
[477]6328    Harry heard Uncle Vernon cough
[478]11610   At last, panting, they reached the landing, then carried the trunk through Harry's room to the open window
[479]8801    Fred climbed back into the car to pull with Ron, and Harry and George pushed from the bedroom side
[480]342    Inch by inch, the trunk slid through the window
[481]317   Uncle Vernon coughed again
[482]1024   A bit more, panted Fred, who was pulling from inside the car
[483]7025    One good push-Harry and George threw their shoulders against the trunk and it slid out of the window into the back seat of the car
[484]5593   Okay, let's go, George whispered
[485]11884   But as Harry climbed onto the windowsill there came a sudden loud screech from behind him, followed immediately by the thunder of Uncle Vernon's voice
[486]115   THAT RUDDY OWL
[487]818  I've forgotten Hedwig
[488]13562  Harry tore back across the room as the landing light clicked on - he snatched up Hedwig's cage, dashed to the window, and passed it out to Ron
[489]1134    He was scrambling back onto the chest of drawers when Uncle Vernon hammered on the unlocked door - and it crashed open
[490]7587   For a split second, Uncle Vernon stood framed in the doorway; then he let out a bellow like an angry bull and dived at Harry, grabbing him by the ankle
[491]13776   Ron, Fred, and George seized Harry's arms and pulled as hard as they could
[492]100   Petunia
[493]358   roared Uncle Vernon
[494]5207    He's getting away
[495]5207   HE'S GETTING AWAY
[496]23523  But the Weasleys gave a gigantic tug and Harry's leg slid out of Uncle Vernon's grasp - Harry was in the car - he'd slammed the door shut-Put your foot down, Fred
[497]2372   yelled Ron, and the car shot suddenly toward the moon
[498]8330   Harry couldn't believe it - he was free
[499]1468    He rolled down the window, the night air whipping his hair, and looked back at the shrinking rooftops of Privet Drive
[500]11360    Uncle Vernon, Aunt Petunia, and Dudley were all hanging, dumbstruck, out of Harry's window
[501]64   See you next summer
[502]5811   Harry yelled
[503]6129   The Weasleys roared with laughter and Harry settled back in his seat, grinning from ear to ear
[504]2728   Let Hedwig out, he told Ron
[505]40    She can fly behind us
[506]2476    She hasn't had a chance to stretch her wings for ages
[507]3854   George handed the hairpin to Ron and, a moment later, Hedwig soared joyfully out of the window to glide alongside them like a ghost
[508]10545   So - what's the story, Harry
[509]7133   said Ron impatiently
[510]4784    What's been happening
[511]12748  Harry told them all about Dobby, the warning he'd given Harry and the fiasco of the violet pudding
[512]532    There was a long, shocked silence when he had finished
[513]5576   Very fishy, said Fred finally
[514]429   Definitely dodgy agreed George
[515]7670    So he wouldn't even tell you who's supposed to be plotting all this stuff
[516]14321  I don't think he could, said Harry
[517]2451    I told you, every time he got close to letting something slip, he started banging his head against the wall
[518]1589   He saw Fred and George look at each other
[519]645   What, you think he was lying to me
[520]10818   said Harry
[521]14279   Well, said Fred, put it this way - house-elves have got powerful magic of their own, but they can't usually use it without their master's permission
[522]1007    I reckon old Dobby was sent to stop you coming back to Hogwarts
[523]4892    Someone's idea of a joke
[524]788    Can you think of anyone at school with a grudge against you
[525]13122  Yes, said Harry and Ron together, instantly
[526]6254   Draco Malfoy, Harry explained
[527]6    He hates me
[528]501   Draco Malfoy
[529]5552   said George, turning around
[530]5284    Not Lucius Malfoy's son
[531]4850  Must be, it's not a very common name, is it
[532]10818   said Harry
[533]6682   I've heard Dad talking about him, said George
[534]830    He was a big supporter of You-Know-Who
[535]14009   And when You-Know-Who disappeared, said Fred, craning around to look at Harry, Lucius Malfoy came back saying he'd never meant any of it
[536]6244    Load of dung - Dad reckons he was right in You- Know-Who's inner circle
[537]14022   Harry had heard these rumors about Malfoy's family before, and they didn't surprise him at all
[538]16737    Malfoy made Dudley Dursley look like a kind, thoughtful, and sensitive boyI don't know whether the Malfoys own a house-elf said Harry
[539]6391   Well, whoever owns him will be an old wizarding family, and they'll be rich, said Fred
[540]10895   Yeah, Mum's always wishing we had a house-elf to do the ironing, said George
[541]1626    But all we've got is a lousy old ghoul in the attic and gnomes all over the garden
[542]4189    House-elves come with big old manors and castles and places like that; you wouldn't catch one in our houseHarry was silent
[543]2707    Judging by the fact that Draco Malfoy usually had the best of everything, his family was rolling in wizard gold; he could just see Malfoy strutting around a large manor house
[544]8280    Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do
[545]6047    Had Harry been stupid to take Dobby seriously
[546]7778  I'm glad we came to get you, anyway, said Ron
[547]3266    I was getting really worried when you didn't answer any of my letters
[548]9933    I thought it was Errol's fault at first-Who's Errol
[549]103  Our owl
[550]4778    He's ancient
[551]3611    It wouldn't be the first time he'd collapsed on a delivery
[552]137    So then I tried to borrow Hermes-Who
[553]6008  The owl Mum and Dad bought Percy when he was made prefect, said Fred from the front
[554]9637   But Percy wouldn't lend him to me, said Ron
[555]5122    Said he needed him
[556]10477   Percy's been acting very oddly this summer, said George, frowning
[557]7203    And he has been sending a lot of letters and spending a load of time shut up in his room I mean, there's only so many times you can polish a prefect badge You're driving too far west, Fred, he added, pointing at a compass on the dashboard
